744025	01	1	283
1270299	01	1	259
571220	01	1	2
1308501	01	0	23
745554	01	2	0
1031012	01	1	650
913297	01	2	593
266500	01	0	403
475120	01	0	135
547944	01	0	9
916655	02	5	10
719262	02	0	7
1026175	02	1	10
1140342	02	1	145
688100	02	1	214
1342459	02	1	24
926263	02	1	96
40710	02	0	55
246954	02	0	2
153579	02	0	21
161418	03	0	113
649526	03	3	1359
376694	03	1	46
1265894	03	1	8
290029	03	0	17
926952	03	2	480
70931	04	2	11
319938	04	1	50
711107	04	1	28
872383	04	1	162
324085	04	1	41
720967	04	0	0
895912	05	2	8
396421	05	0	122
605799	05	2	1040
374225	05	1	9
188120	05	1	63
4416	05	1	9
245385	05	1	20
1244564	05	1	353
321610	05	0	96
998568	06	1	19
362447	06	1	55
508312	06	0	17
828824	06	0	693
604296	06	0	31
1040779	06	0	59
104515	06	1	32
909345	06	0	41
584573	06	1	1754
809615	06	0	15
705594	06	1	196
544673	06	0	546
1353252	07	1	397
1228936	07	1	465
130304	07	1	483
636433	07	0	54
649913	07	7	2540
300198	07	2	35
958588	07	0	1043
365947	07	1	990
546663	07	2	22
358836	07	2	428
572651	07	2	408
200677	08	2	256
121072	08	0	16
283372	08	0	13
1046808	08	1	33
286389	09	1	3
785752	09	2	5768
65439	09	0	34
1070734	09	2	9
409296	09	0	2
507130	09	1	0
46089	09	1	11
363195	09	0	0
826213	10	2	5
1095380	10	7	671
742578	10	1	13
278433	10	5	1394
323276	11	0	86
1080404	11	4	5
371793	11	0	0
581535	11	0	243
623713	11	2	9
613814	11	1	70
1230657	11	0	5
181217	12	1	6
393403	12	0	205
647111	12	1	562
301007	12	1	191
1720	12	1	2
135240	12	1	598
1005097	12	0	7
1265157	13	0	177
422203	13	0	767
491162	13	2	14
392276	13	1	80
1119103	13	1	542
493601	13	0	2
987199	13	0	23
428929	13	0	325
764894	13	0	13
901027	13	0	1917
716335	13	1	12
1132054	13	0	68
1201394	13	1	9
79180	13	2	1401
363940	13	0	385
1171561	13	2	23664
29588	13	1	46
225105	14	2	0
479488	14	2	0
1349377	14	0	237
755950	14	1	161
867067	14	1	1225
1208320	14	2	22
644685	14	0	1325
580269	14	0	14
1278006	14	0	243
900759	14	2	76
301088	14	0	345
846124	15	0	69
873341	15	1	40
373134	15	2	188
547864	16	0	200
1145926	16	0	638
741300	16	2	73577
685607	16	5	671
1096768	16	1	1654
544078	16	0	48
500537	17	2	2
1126528	17	2	8
470633	17	2	645
1260044	17	0	57
1147129	17	0	217
708206	17	0	6
578505	18	2	18
473398	18	0	323
805787	18	1	0
905493	18	0	27
706631	18	1	293
875685	18	4	41
969252	18	0	17
24482	18	0	42
935166	18	0	15
1316877	18	0	8
1163109	18	0	495
657176	19	0	0
1024790	19	2	54196
1216256	19	0	70
908794	19	0	7
154609	19	1	0
1283254	19	0	6
498488	19	1	949
969395	19	0	19
64315	19	0	125
354563	20	3	26795
1356592	20	0	0
706245	20	2	11
173080	20	2	4
315508	20	2	0
889586	20	1	34
932852	21	2	29
196795	21	1	33
700459	21	1	147
784518	21	1	868
1149160	21	2	8
251319	21	1	77
526703	21	2	60
320032	21	2	2
119327	21	1	0
627445	21	0	107
1333459	21	0	2
588012	21	0	69
12034	21	0	10
146820	21	0	3730
1243074	21	2	15
271512	21	1	51
1257585	21	1	84
1124798	21	1	402
82342	21	2	67
1045093	22	0	4
1087280	22	7	705
182906	22	0	168
934918	22	0	0
856907	22	0	2
564522	22	1	1101
889866	22	0	7
986839	22	1	461
551821	22	1	34
988294	22	1	96
1022936	22	1	690
349043	22	0	14
1010794	22	0	229
1274576	23	1	107
109973	23	0	341
134299	23	1	16
1005835	23	1	45
864582	23	7	2100
1293122	23	1	0
896835	23	1	1272
630631	23	0	757
1121791	23	2	28
1038314	23	2	22
123473	24	3	1
916883	24	3	1
627561	24	1	2
1343228	24	3	1
1134049	24	3	1
1097140	24	0	178
192598	24	3	1
1084176	24	6	961
699788	24	3	1
1206272	24	1	16
1357808	24	2	7
879812	24	1	3209
178800	24	3	1
6142	24	3	1
744006	24	3	1
498016	24	2	396
603422	24	3	1
817397	24	2	62
279797	25	7	1369
42931	25	1	294
477509	25	7	1087
768177	25	2	0
1275284	25	0	298
844601	25	0	119
82524	26	1	27
73158	26	0	140
1139294	26	2	190
1102709	26	0	15
52918	26	2	0
85132	26	2	97
23948	26	0	47
201951	26	2	2
343886	27	1	259
671062	27	0	1977
1039738	27	1	51
310025	27	1	390
1266850	27	5	10
590886	27	0	0
942055	27	0	8
694183	27	2	7
1302790	27	1	236
1352813	28	1	1962
219457	28	2	116
1273778	28	1	10
615136	28	0	2
692306	28	2	10
234824	28	1	521
797113	28	1	38
1168061	28	0	119
933116	29	0	7
675189	29	1	13
117234	29	0	9
473215	29	0	5
693597	29	1	52
292217	29	1	18
318189	29	1	22
893024	29	1	526
1147778	29	1	181
75464	29	1	22
355948	30	0	7
1141243	30	0	479
885314	30	2	0
473037	30	0	10
1161976	30	2	0
1105249	30	1	13
1034711	30	1	45
444663	30	2	9
629789	30	0	12
684292	30	1	9
1220188	30	0	34
38479	30	0	22
1166260	30	1	21
739798	30	0	8
1023596	30	0	4054
731282	30	6	144
759110	30	0	170
327708	30	3	1307
129695	01	1	197
1344791	01	1	3
1096813	01	0	124
848341	01	0	124
1068843	01	0	502
419912	01	0	12
823586	01	0	88
296386	01	2	2
1161945	01	1	85
200400	02	4	15
1195373	02	0	4
973391	02	1	47
65575	02	0	455
837576	02	0	4
298119	02	1	4038
1358198	02	1	7042
375546	03	1	13
544646	03	0	29
607849	03	1	16
354025	03	1	320
1331521	03	1	163
1191566	04	1	25
199629	04	1	1886
1236008	04	1	205
214542	04	2	105
350622	05	2	2
190614	05	0	10
964475	05	0	0
45704	05	0	2
878391	06	1	18
1105526	06	2	21372
164445	06	0	9
488255	06	1	407
143944	06	2	2724
802240	06	0	4
1314381	06	0	30
863520	06	1	372
322780	06	1	955
1115620	06	0	7
1004240	06	1	167
91631	07	0	9
1306292	07	1	35
305295	07	1	483
46877	07	0	142
1366339	07	0	14
1055951	07	1	788
1186938	07	0	98
253904	07	1	12
78349	07	1	23
1260188	08	1	13
1016609	08	1	5
993751	08	1	117
826191	08	0	12
1042464	08	0	0
600907	09	1	11
75238	09	1	16
600462	09	2	183
43426	09	0	28
1016709	09	0	196
1076150	10	1	28
861690	10	1	209
